DateRawText,StartDate,EndDate,MedianDate,Firm,WikipediaRefNumber,Primary vote,,,,,,,,TPP vote,
,,,,,,LNP,ALP,GRN,ONP,UAP,CON,KAP,OTH,LNP,ALP
25Ð29 Apr 2019,4/25/19,4/29/19,,Essential,1,0.390,0.370,0.090,0.060,None,,,0.090,0.490,0.510
26Ð28 Apr 2019,4/26/19,4/28/19,,Newspoll,2,0.380,0.370,0.090,0.040,0.050,,,0.070,0.490,0.510
23Ð25 Apr 2019,4/23/19,4/25/19,,Galaxy,3,0.370,0.370,0.090,0.040,0.040,,,0.090,0.480,0.520
20Ð21 Apr 2019,4/20/19,4/21/19,,Roy Morgan,4,0.390,0.355,0.095,0.045,0.020,,,0.095,0.490,0.510
11Ð14 Apr 2019,4/11/19,4/14/19,,Newspoll,5,0.390,0.390,0.090,0.040,,,,0.090,0.480,0.520
4Ð8 Apr 2019,4/4/19,4/8/19,,Essential,6,0.380,0.350,0.110,0.050,,,,0.100,0.480,0.520
6Ð7 Apr 2019,4/6/19,4/7/19,,Roy Morgan,7,0.370,0.350,0.135,0.040,0.015,0.010,0.005,0.075,0.475,0.525
4Ð7 Apr 2019,4/4/19,4/7/19,,Newspoll,8,0.380,0.370,0.090,0.060,,,,0.100,0.480,0.520
3Ð6 Apr 2019,4/3/19,4/6/19,,Ipsos,9,0.370,0.340,0.130,0.050,,,,0.110,0.470,0.530
25Ð28 Mar 2019,3/25/19,3/28/19,,Galaxy,10,0.350,0.370,0.100,0.080,0.030,0.020,,0.030,0.470,0.530
20Ð25 Mar 2019,3/20/19,3/25/19,,Essential,11,0.390,0.360,0.100,0.070,,,,0.080,0.480,0.520
6Ð11 Mar 2019,3/6/19,3/11/19,,Essential,12,0.370,0.380,0.080,0.070,,,,0.100,0.470,0.530
7Ð10 Mar 2019,3/7/19,3/10/19,,Newspoll,13,0.360,0.390,0.090,0.070,,,,0.090,0.460,0.540
20Ð24 Feb 2019,2/20/19,2/24/19,,Essential,14,0.380,0.370,0.090,0.060,,,,0.100,0.480,0.520
21Ð24 Feb 2019,2/21/19,2/24/19,,Newspoll,15,0.370,0.390,0.090,0.050,,,,0.100,0.470,0.530
12Ð15 Feb 2019,2/12/19,2/15/19,,Ipsos,16,0.380,0.330,0.130,0.050,,,,0.110,0.490,0.510
6Ð11 Feb 2019,2/6/19,2/11/19,,Essential,17,0.340,0.380,0.100,0.070,,,,0.110,0.450,0.550
7Ð10 Feb 2019,2/7/19,2/10/19,,Newspoll,18,0.370,0.390,0.090,0.050,,,,0.100,0.470,0.530
23Ð30 Jan 2019,1/23/19,1/30/19,,Essential,19,0.380,0.360,0.100,0.070,,,,0.090,0.480,0.520
24Ð27 Jan 2019,1/24/19,1/27/19,,Newspoll,20,0.370,0.380,0.090,0.060,,,,0.100,0.470,0.530
9Ð13 Jan 2019,1/9/19,1/13/19,,Essential,21,0.380,0.380,0.100,0.070,,,,0.070,0.470,0.530
13Ð16 Dec 2018,12/13/18,12/16/18,,Essential,22,0.370,0.360,0.110,0.070,,,,0.090,0.470,0.530
13Ð15 Dec 2018,12/13/18,12/15/18,,Ipsos,23,0.360,0.370,0.130,0.060,,,,0.090,0.460,0.540
6Ð9 Dec 2018,12/6/18,12/9/18,,Newspoll,24,0.350,0.410,0.090,0.070,,,,0.080,0.450,0.550
29 Nov Ð 2 Dec 2018,11/29/19,12/2/18,,Essential,25,0.380,0.390,0.100,0.060,,,,0.070,0.460,0.540
23Ð25 Nov 2018,11/23/18,11/25/18,,Newspoll,26,0.340,0.400,0.090,0.080,,,,0.090,0.450,0.550
15Ð18 Nov 2018,11/15/18,11/18/18,,Essential,27,0.370,0.350,0.110,0.070,,,,0.100,0.480,0.520
15Ð17 Nov 2018,11/15/18,11/17/18,,Ipsos,28,0.370,0.340,0.130,0.050,,,,0.110,0.480,0.520
8Ð11 Nov 2018,11/8/18,11/11/18,,Newspoll,29,0.350,0.400,0.090,0.060,,,,0.100,0.450,0.550
1Ð4 Nov 2018,11/1/18,11/4/18,,Essential,30,0.360,0.390,0.100,0.060,,,,0.090,0.460,0.540
25Ð28 Oct 2018,10/25/18,10/28/18,,Newspoll,31,0.360,0.390,0.090,0.060,,,,0.100,0.460,0.540
19Ð21 Oct 2018,10/19/18,10/21/18,,Essential,32,0.380,0.370,0.100,0.070,,,,0.080,0.470,0.530
10Ð13 Oct 2018,10/10/18,10/13/18,,Newspoll,33,0.370,0.380,0.110,0.060,,,,0.080,0.470,0.530
10Ð13 Oct 2018,10/10/18,10/13/18,,Ipsos,34,0.350,0.350,0.150,0.050,,,,0.100,0.450,0.550
5Ð7 Oct 2018,10/5/18,10/7/18,,Essential,35,0.370,0.360,0.120,0.050,,,,0.100,0.470,0.530
22Ð24 Sep 2018,9/22/18,9/24/18,,Essential,36,0.370,0.360,0.120,0.050,,,,0.100,0.470,0.530
20Ð23 Sep 2018,9/20/18,9/23/18,,Newspoll,37,0.360,0.390,0.100,0.060,,,,0.090,0.460,0.540
12Ð15 Sep 2018,9/12/18,9/15/18,,Ipsos,38,0.340,0.310,0.150,0.070,,,,0.130,0.470,0.530
8Ð10 Sep 2018,9/8/18,9/10/18,,Essential,39,0.360,0.370,0.100,0.080,,,,0.090,0.460,0.540
6Ð9 Sep 2018,9/6/18,9/9/18,,Newspoll,40,0.340,0.420,0.100,0.060,,,,0.080,0.440,0.560
25Ð26 Aug 2018,8/25/18,8/26/18,,Roy Morgan,41,0.365,0.360,0.130,0.025,,,,0.120,0.460,0.540
